Category,Question
Comparisons,Karma is heavier than Sonam. Dorji weighs less than Sonam. Dawa is heavier than Dorji but lighter than Sonam. Which of the following statements is NOT true?
Percentages,"Bumthang is located in Central Bhutan and some Bumthaps (people of Bumthang) can speak Sharchop and some can speak Khengkha. If 70% of Bumthaps speaks Sharchop and 60% of Bumthaps speaks Khengkha, what is the minimum percentage of Khengkha speaking Bumthaps that also speak Sharchop?"
Logic,I am a time of the day. I am in London (United Kingdom) when it is 3:00 PM in Tokyo (Japan). Assume that Tokyo time is 3 hours ahead of Thimphu (Bhutan) time. I am
Logic,Look at the number Logic and study the sequence carefully. You will be required to correctly guess the next sequence number. 1 3 5 7 9 The next sequence number should be….
Probability,"Five teams from Thimphu’s Schools are participating in a Summer School Football League. If each team plays the other teams 2 times, the total number of games the League will play is …"
Logic,"Karma needs to transport a dog, a duck and corn in a boat across a river. The boat is capable of transporting Karma and one of the other three at each crossing. Karma succeeded in crossing them all without letting the dog eat the duck or the duck eat the corn. Which of the following sequence of events made him possible in crossing them all"
Percentages,"Tandin pays 50% of his monthly income as house rent and 25% as loan repayment. He spends Nu. 2,000 on food and drinks. He still saves Nu. 5,000 per month and deposits into his saving account. What is Tandin’s monthly income?"
Algebra,"Tobgay wants to travel from Paro to Bagdogra in India. He had two options to reach Bagdogra from Paro. He can either travel by air which takes 30 minutes or by a taxi which takes 10 hours. The air ticket will cost him Nu. 5,000 and the taxi fare will costs him Nu. 1,250. Other things remaining constant, Tobgay would gain by choosing air travel if, and only if, his time were valued at more than:"
Logic,Identify two statements necessary to make the statement “A is south-west to C” true. a. A is two miles south of B. b. B is two miles east of D. c. C is two miles east of B. d. D is North-west of A. The two correct statements are:
Comparisons,Six electronic items are stacked in a cupboard divided into several racks. Mobile Phone is in the rack right above the Ipod and the Laptop is in the rack right below the Micro Oven. Micro Oven is in the rack right above the Mobile Phone and the Ipod shares the rack with the Headphones. Rice Cooker is kept on the lowest rack. Which item is on the topmost
General Knowledge,"When a heavy object is lifted under water, it is easier to lift than lifting the same object in the air. Which of the following best provide reasons for this?"
Comparisons,"Four defenders in a football match — Defender A, Defender B, Defender C & Defender D — take their positions in this order in a row from right to left. During the match, Defender A changes places with Defender C and then Defender C changes places with Defender B. Which defender is now at the right end of the row?"
General Knowledge,Progress that meets the needs of the present generations without compromising the ability of future generations to meet their own needs is called:
Percentages,"In a classroom of 125 students, 75 are male students. What percent of the classroom is female"
General Knowledge,Which of the following best describes the difference between Gross Domestic Product (GDP) and Gross National Product (GNP)?
Fractions,"Look at the pictures carefully. If each car carries 3 passengers and each bus carries 20 passengers except 3 buses which carries only 18 passengers each, the ratio of passengers travelling by buses to total passengers is:"
General Knowledge,Which of the following best describes the difference between a person’s Curriculum Vitae (CV) and Resume?
Fractions,Sonam and Pema were given an apple pie each. Sonam ate 2/3 of the pie and Pema ate 3/4 . What portion of the pie did they eat altogether?
Algebra,"The price of a commodity increased 8 points, then decreased 13 points, and then increased 9 points. If the commodity price before the changes was x points, which of the following was the commodity price, in points, after the changes?"
Comparisons,"Pema, who is sixteen years old, is four times as old as her brother Sonam. How old will Pema be when Pema is twice as old as her brother Sonam?"
Fractions,Choose the number that is 1/4 of half of 1/5 of 200?
Logic,If you arrange the letters “LNGEDNA” you have the name of a (n):
Comparisons,Deki is shorter than Pema and taller than Kesang. Kesang is taller than Yangzom. Who is the tallest?
Logic,Which one of the four choices makes the best comparison? PEACH is to HCAEP as 46251 is to:
Percentages,The value of a company share drops from Nu 100 per share to Nu 96 per share. What is the percent of the decrease?
General Knowledge,Economic efficiency in an economy requires:
Probability,In how many ways can the letter SOLVING be rearranged to make 7 letter words such that none of the letters repeat?
Logic,What is the missing letter in this series: b e h k n ? t
Logic,"If: 2, 3 = 10 7, 2 = 63 6, 5 = 66 8 ,4 = 96 9 ,7 =……."
Algebra,The average age of a group of 5 students was 10. The average age increased by 4 years when 2 new students joined the group. What is the average age of the two new students who joined the group?
Percentages,A number increases from 20 to 30 and then decreases from 30 to 20. Compare the percent of increase from 20 to 30 and that of the decrease from 30 to 20. From the following which of the following statement is true:
Logic,"If you unscramble the letters YKANE, you will get the name of a:"
Algebra,How many times can you subtract 20 from 200?
Percentages,3 is 80% of what number?
Fractions,There are twenty four students in a certain class. For every nine girls there are three boys. How many girls and how many boys are there in the class?
Comparisons,In a horse race Dawa came in ahead of Pema. Dawa finished after Tashi. Sonam beat Tashi but finished after Rinzin. Where did Sonam finish?
Logic,What is the missing letter in this series: g ? d i j d k l d
Logic,"If you unscramble the letters ITNKA, you will get the name of an:"
Comparisons,"Penjore, Choki, Lhamo and Dorji speak many languages. Penjore and Choki speak Chinese, whereas the others speak Arabic. Choki and Dorji speak Albanian. Everyone except Penjore speaks Hindi. Who only speaks Arabic and Hindi?"
General Knowledge,"If Selki’s job is to recruit, develop and manage staff in her organization, which among the following is her designation?"
Comparisons,Pema Dorji and Kesang Choden are two children in a big family. Pema Dorji has thrice as many sisters as he has brothers. Kesang Choden has two less brothers than she has sisters. How many children are there in the family?
Probability,"Five teams from Thimphu’s Schools are participating in a Summer School Football League. If each team plays the other teams 2 times, the total number of games the League will play is"
Logic,Identify two statements necessary to make the statement “A is south-west to C” true. a) A is two miles south of B. b) B is two miles east of D. c) C is two miles east of B. d) D is North-west of A. The two correct statements are:
Logic,What is the missing letter in this series: a z b ? c x
Fractions,"If B is the midpoint of line segment AD and C is the midpoint of line segment BD, What is the value of AB/AC?"
Logic,Which one of the four choices makes the best comparison? Fingers is to Hand as Leaf is to:
Probability,"If you roll a fair-sided die twice, what is the probability of getting a double?"
Logic,Name the 3-digit number. My ones digit is an even number which is three times as much as my tens digit. My tens digit is the same as my hundreds digit. The sum of all my digits is 10. Which number am I?
Logic,What is the missing letter: A F D I G L J ___
Logic,"Read the statements given below and answer the question that follows. Fact 1: Tissot watches cost between Nu. 1000 and Nu. 10,000. Fact 2: Some Tissot watches have Titanium frames. Fact 3: Some Tissot watches have steel frames. If the above three statements are facts, which of the following statements must also be a fact? I. Tissot watches with Titanium frames cost more than the one with steel frames. II. Expensive Tissot watches last longer than cheap ones. III. Only a few Tissot watches cost less than Nu. 1000."
Fractions,Which fraction is greater than ½ ?
Logic,"If you unscramble the letters ‘AKBSLLTAEB’, you will get the name of a"
Algebra,"If an object travels five feet in a second, how many feet will it travel in 1 hour?"
Probability,"A basket contains 55 apples. The apples are red and green in colour. 20 apples are green in colour. If Sonam randomly picks an apple, what is the probability that she picks a red apple?"
Percentages,"Dorji earns Nu. 15000 in a month. His family uses one LPG cylinder a month. If one LPG cylinder costs Nu. 1200, what percentage of his monthly salary is spent for cooking?"
Fractions,If a/b=0.25. What is the negative value of the reciprocal of the fraction a/b?
Algebra,If Speed = Distance/ Time. Which of the following formula are true? (i) Distance= Speed * Time (ii) Time = Distance / Speed (iii) Distance = Speed / Time (iv) Time = Distance * Speed
Algebra,How many two digit numbers are multiples of both 7 and 4?
Algebra,"Car parking along Norzin Lam is charged at flat X Ngultrum for any amount of time up to three hours, and 1/5 of X Ngultrum each hour or fraction of an hour after the first three hours. How much does it cost to park for 5 hours and 30 minutes?"
Percentages,"In a family, Sonam weighs twice as much as Choden. Choden’s weight is 90% of Karma’s. Deki’s weight is 120% of Karma’s. Who is the heaviest in the family?"
Algebra,"20 unskilled workers can finish a job in 50 hours. The same job can be finished by 25 skilled workers in 20 hours. If 10 unskilled and 10 skilled workers are employed, how long will they take to complete the same job?"
Algebra,"A piece of wood 10 meters long is cut into three smaller pieces. If the first one is 2.7 meters and the second one is 3.5 meters longer than the third one, how long is the shortest of the three pieces?"
Fractions,"Two numbers are in ratio of 10:7. If the sum of the numbers is 34, what is the smaller"
Fractions,"In a shop, for every pant there are 3 shirts and for every 9 shirts there are 27 pairs of shoes. Express the ratio of pants to shirts to shoes in the store."
Percentages,"Person X bought a car for Nu. 500,000. He sold it to Person Y at 20% profit. Person Y in turn sold the car to Person Z at 20% profit. What is Person Y’s profit in terms of Person X’s"
Algebra,"Deki can carry 6 cartoons of milk. If there are 32 boxes of cartoons in her ware house, how many full trips does she have to make for her to transport all the cartoons of milk from ware house to her shop?"
Percentages,The pass percentage of a school stands at 95% with 570 students passing the annual examinations. How many more students in the school would have to pass to raise the pass percentage to 98%?
Fractions,"The weight of an object on Planet X is twice that of its weight on Earth and one third of its weight on Planet Y. If an object on Earth weighs 100 units, what is its weight on Planet Y?"
Comparisons,"Four men are trying to catch a crazy bull. Jigme is directly behind the bull. Rinzin is behind Jigme. Rada is behind Rinzin. Migmar is ahead of the bull walking down the street in the opposite direction. As the men and bull run, Migmar turns around and joins the team. He runs in behind Rinzin. Jigme runs faster and is alongside the bull on the left. Rinzin runs faster and is alongside the bull on the right. Which man is directly behind the bull?"
