qID,Category,Choice,CorrectAnswer,IsCorrectAnswer,IsWrongAnswer,Marked,Question,UserHasNotResponded,explanationURL,futureOption,futureOption1,futureOption2,futureOption3,futureOption4
1BnMacuFQK4oK99NYo64,Algebra,"['20', '24', '26', '28']",1,False,False,False,"Pema, who is sixteen years old, is four times as old as her brother Sonam. How old will Pema be when Pema is twice as old as her brother Sonam?",True,,,,,,
1UyZ2SxQbgROz70Xf4u5,Fraction,"['More than one pie', 'Less than half a pie', 'Three sixth of a pie', 'The relationship cannot be determined from the information given.']",0,False,False,False,Sonam and Pema were given an apple pie each. Sonam ate 2/3 of the pie and Pema ate 3/4 . What portion of the pie did they eat altogether?,True,,,,,,
1epcmooiI7PLBjFSWiVN,Logic,"[' Mobile Phone', ' IPod', ' Laptop', ' Micro Oven']",3,False,False,False, Six electronic items are stacked in a cupboard divided into several racks. Mobile phone is in the rack right above the IPod and the laptop is in the rack right below the micro Oven. Micro Oven is in the rack above the Mobile Phone and the IPod shares the rack with the Headphones. Rice cooker is kept on the lowest rack. Which item is on the topmost rack?,True,,,,,,
1nfaPbRt85EXChBRCajn,Logic,"[' 0.36', ' 0.0036', ' 0.00027', ' 0.000060']",2,False,False,False, What decimal of an hour is second?,True,,,,,,
2OqIF31Bed70tjbAokAM,Algebra,"[' 10 days', ' 6 days', ' 5.5 days', ' 7.5 days']",3,False,False,False," Vijay, Nayan and Nazdeep can complete a work in 5 days. How many days will Nayan and Nazdeep take to complete the same work, assuming they all put the same effort for the work?",True,,,,,,
3crioRnnOULQlEDqhmGu,Fraction,"[' 2/5th', ' 1/5th', ' 3/5th', ' 4/5th']",2,False,False,False, One-fifth of a banana was given to a monkey. The other monkey demanded equal size of the banana too. I had only one banana. How much of the banana is left with me?,True,,,,,,
3ldH556VKfXVeDdNRF6B,Logic,"['Personal Manager', 'Personnal Manager', 'Personnel Manager', 'Personality Manager']",2,False,False,False,"If Selki’s job is to recruit, develop and manage staff in her organization, which among the following is her designation?",True,,,,,,
4Ilcm3RdwhJp0Zd8PbBC,Logic,"['Deki', 'Pema', 'Kesang', 'Yangzom']",1,False,False,False,Deki is shorter than Pema and taller than Kesang. Kesang is taller than Yangzom. Who is the tallest?,True,,,,,,
4KM3zZsPpI20TXZLtuEF,Logic,"['Jigme', 'Rinzin', 'Rada', 'Migmar']",3,False,False,False,"Four men are trying to catch a crazy bull. Jigme is directly behind the bull. Rinzin is behind Jigme. Rada is behind Rinzin. Migmar is ahead of the bull walking down the street in the opposite direction. As the men and bull run, Migmar turns around and joins the team. He runs in behind Rinzin. Jigme runs faster and is alongside the bull on the left. Rinzin runs faster and is alongside the bull on the right. Which man is directly behind the bull?",True,,,,,,
4s5CKtrKdd1ZCefUh8F7,Algebra,"['3.0 meters', '3.8 meters', '2.8 meters', '1.9 meters']",3,False,False,False,"A piece of wood 10 meters long is cut into three smaller pieces. If the first one is 2.7 meters and the second one is 3.5 meters longer than the third one, how long is the shortest of the three pieces?",True,,,,,,
5hAfx6Xr4SO9HSDBoYI6,Logic,"[' Defender B', ' Defender C', ' Defender D', ' Defender A']",0,False,False,False," Four defenders in a soccer match 'Defender A, Defender B, Defender C and Defender D' take their positions in this order in a row from right to left. During the match, Defender A changes places with Defender C. Defender C further changes his position with Defender B. Which Defender is now at the right end of the row?",True,,,,,,
601SYKMA6AIfGhQnRFeu,Fraction,"['60%', '40%', '0.60%', '0.40%']",1,False,False,False,"In a classroom of 125 students, 75 are male students. What percent of the classroom is female",True,,,,,,
6CT126MNm8T5AbAx8Rdc,Algebra,"[' Nu. 500', ' Nu. 300', ' Nu. 1500', ' Nu. 400']",3,False,False,False," A carpet to cover a floor of 30m by 20m costs Nu. 800 in Jaigaon. However, Deki wants to buy a carpet to cover her kitchen floor of exactly 20m by 15m. What will be the cost of the needed carpet?",True,,,,,,
6TVs4teByIvK4MYxc2kP,Fraction,"[' 500', ' 320', ' 210', ' 190']",2,False,False,False," 30% of the 10,000 class twelve students didn't qualify anywhere. 3% of the qualified students were sent for ex-country scholarship. How many were sent for ex-country scholarship?",True,,,,,,
6cs8OcGwRoT31Epc2yfB,Logic,"[' Rises', ' Falls', ' Remains unchanged', ' Overflows']",2,False,False,False," An ice cube of good size is placed in a measuring cylinder having water up to 50ml mark and a portion of the ice cube is seen above the water level. When the ice cube completely melts, water level in the cylinder:",True,,,,,,
7VO1FkKDVpNDevGMeGQi,Algebra,"[' 5m', ' 6m', ' 7m', ' 15m']",1,False,False,False, The volume of the cube is 216m3. Find the side of the cube.,True,,,,,,
7gfm7moR60C5LdOYHfaJ,Probability,"[' 14', ' 12', ' 6', ' 7']",3,False,False,False," There are 7 routes for a journey from point X to Y. In how many ways can a person go from X to Y and return, if for returning the same route is taken?",True,,,,,,
7veeoNH0HX86IuvyCXHs,Fraction,"[' 15%', ' 30%', ' 6.67%', ' 5.78%']",2,False,False,False, 15 is what percent of 225?,True,,,,,,
8POGK6AjLWRXv9cHmysr,Fraction,"[' 20 males and 4 females', ' 15 males and 9 females', ' 18 males and 6 females', ' 19 males and 5 females']",2,False,False,False, There are 24 persons attending a workshop in Gasa. For every 9 males there are 3 females. How many males and females are there attending the workshop?,True,,,,,,
8rQZD772V7YoiOyFIqQO,Logic,"[' 274>96', ' 274< 96', ' 274 = 96', "" Can't be determined""]",0,False,False,False, The relation between 274 and 96 is:,True,,,,,,
