Category,Choice__001,Choice__002,Choice__003,Choice__004,CorrectAnswer,IsAnswerCorrect,Marked,Question
Quantitative, 15:00 hours, 16:00 hours, 17:00 hours, 18:00 hours,0,FALSE,FALSE, A landmark in North America passes through a longitude of 450 West and has a local time of 7:00 hours. What will be the time in Paro fortress in Bhutan in 24 hours format?
Quantitative, Jamtsho, Pemba, Langa, None,0,FALSE,FALSE," Langa, Jamtsho and Pemba are competing in a 200 meter dash. Jamtsho falls down while Pemba overtakes Langa. However, Jamtsho recovers and overtakes Pemba. Langa was last. Who was first?"
Quantitative, 100, 200, 300, 400,0,FALSE,FALSE," When 100 is divided by half and multiplied by 2, the result is:"
Quantitative, 20%, 10%, 30%, 25%,0,FALSE,FALSE," A mountain bike costs Nu. 25,000. Pempa rode the cycle and while going home he damaged the front wheel by hitting it to a big stone. To repair, he paid Nu. 2500. What percentage of the total cost of the cycle did he pay for repairing?"
Quantitative, 2/5th, 1/5th, 3/5th, 4/5th,0,FALSE,FALSE, One-fifth of a banana was given to a monkey. The other monkey demanded equal size of the banana too. I had only one banana. How much of the banana is left with me?
Quantitative, 10 days, 6 days, 5.5 days, 7.5 days,0,FALSE,FALSE," Vijay, Nayan and Nazdeep can complete a work in 5 days. How many days will Nayan and Nazdeep take to complete the same work, assuming they all put the same effort for the work?"
Quantitative, 55, 70, 78, 96,0,FALSE,FALSE, Look at the figure below: Total number of blocks in total when a 12-step staircase is completed is:
Quantitative, Penjore, Choki, Lhamo, Dorji,0,FALSE,FALSE," Penjore, Choki, Lhamo and Dorji speak many languages. Penjore and Choki speak Chinese while the others speak Arabic. Choki and Dorji speak Dzongkha. Everyone but Penjore speak Hindi. Who is the one speaking only Arabic and Hindi?"
Quantitative, 4, 5, 6, 7,0,FALSE,FALSE, Drinking glasses are stacked forming a pyramid with one glass less in the successive layer. There are six glasses in the bottom layer. How many layers are there in total?
Quantitative, 5 years, 10 years, 15 years, 20 years,0,FALSE,FALSE, A is 2 years older than B while B is twice as old as C. The sum of their ages is 27. How old is B?
Quantitative,1:02:00,2:03:00,3:04:00,4:05:00,0,FALSE,FALSE, Let B be the simple interest earned by certain amount for a certain rate in 6 years and D be the simple interest earned by the same amount for same rate in 9 years. The ratio of B to D is:
Quantitative, 10, 11, 13, 16,0,FALSE,FALSE," In a night party of 59 persons, 30 are dancing while 23 are drinking. 5 of them are dancing and drinking at the same time. Find the number of persons who are neither drinking nor dancing."
Quantitative, 5, 10, 15, 20,0,FALSE,FALSE, A number when increased three times divided by five and increased by four gives back the number. Which is the number?
Quantitative, Namgay is heaviest of all., Karpo is heavier than Nagpo., Dargay weighs less than Namgay., Nagpo is the second lightest of all.,0,FALSE,FALSE, Namgay is heavier than Dargay. Nagpo weighs less than Dargay. Karpo is heavier than Nagpo but lighter than Dargay. Which of the following statement is NOT true?
Quantitative, 311132211212, 311222331312, 322331233112, 311311222112,0,FALSE,FALSE, Look at the number patterns and study the sequence carefully. You must guess the next sequence rightly. 2 12 1112 3112 132112 1113122112
Quantitative, Nu. 500, Nu. 300, Nu. 1500, Nu. 400,0,FALSE,FALSE," A carpet to cover a floor of 30m by 20m costs Nu. 800 in Jaigoan. However, Deki wants to buy a carpet to cover her kitchen floor of exactly 20m by 15m. What will be the cost of the needed carpet?"
Quantitative, 13, 12.54 C.11.17, 15.87,,0,FALSE,FALSE," Pema took six different amounts of time in minutes to finish a hundred meter distance from Monday to Saturday respectively as given below: 20, 15, 10, 8, 9, and 5. What is the arithmetic mean of the time he consumed?"
Quantitative, 80, 85, 90, 95,0,FALSE,FALSE," Lungten has an average mark of 90 in three subjects' tests. While appearing the fourth subject, he scored 70. The average mark of the four subjects is:"
Quantitative, 49.43m, 49.78m, 49.67m, 49.35m,0,FALSE,FALSE, An object travels at 7metres per minute. How much does it travel in 7 minutes and 3 seconds?
Quantitative, I and II, I and IV, II and III, II and IV,0,FALSE,FALSE, A dog and a cat are 50 metres far from each other. A pig is sleeping at a distance of 10 metres from the cat. The distance between the pig and the dog are: I. 40 metres II. 30 metres III. 50 metres IV. 60 metres
Quantitative, First, Second, Third, Last,0,FALSE,FALSE, Nima runs in a marathon competition organized in his district. He overtakes the second person. His position is:
Quantitative, 0, 1, 3.2, -5,0,FALSE,FALSE," A number is an integer that is natural, rational and whole number. Which is the number?"
Quantitative, 1/28, 1/32, 1/36, 1/40,0,FALSE,FALSE," Which number fulfils the pattern: half, one-fourth, one-eight, one- sixteenth...?"
